date;cases;isolation_level
20200226;0;0.35314949005223867
20200227;0;0.3528905069158878
20200228;1;0.35033835351546394
20200229;0;0.35743547844444457
20200301;0;0.3783725193333332
20200302;0;0.3579697018064516
20200303;0;0.3610543563040001
20200304;1;0.35660428407563033
20200305;3;0.354371357551724
20200306;0;0.34821731259999994
20200307;7;0.3595720891908397
20200308;3;0.37370716947826105
20200309;0;0.3548085186491228
20200310;3;0.3550286303865546
20200311;11;0.34828951001020414
20200312;16;0.3487585021151077
20200313;0;0.3631096213478262
20200317;12;0.4169182845827339
20200318;68;0.42671152452517996
20200319;49;0.44600394819424444
20200320;55;0.45322166078417236
20200321;0;0.5548673339640287
20200322;0;0.5606917080359715
20200323;0;0.5242224423093524
20200324;0;0.5376404657266187
20200325;471;0.5436831838201439
20200326;203;0.5370307312014387
20200327;166;0.5370592551079139
20200328;0;0.5588052034820146
20200329;0;0.587138349964029
20200330;288;0.5592601215467626
20200331;812;0.5572223588273382
20200401;631;0.5487610981079136
20200402;520;0.5423557198848922
20200403;548;0.5386215736906473
20200404;407;0.5696409148417264
20200405;163;0.5799794324172666
20200406;239;0.5223845176402877
20200407;818;0.5160822456043166
20200408;1015;0.5075043721294965
20200409;765;0.4916364011366905
20200410;716;0.5882730747266186
20200411;240;0.5510716543884893
20200412;327;0.5869314109856117
20200413;137;0.5137257673453238
20200414;469;0.5161505064388492
20200415;1659;0.5130830010215827
20200416;562;0.5073982742805755
20200417;1269;0.49837149338129483
20200418;1041;0.5443613784820145
20200419;382;0.6011293891798561
20200420;310;0.5190254002517986
20200421;805;0.5810548129496403
20200422;528;0.49244720303597145
20200423;809;0.4961670457913667
20200424;1111;0.4941792418273382
20200425;2172;0.5362671252517986
20200426;706;0.5928168354172659
20200427;1051;0.4977115371942446
20200428;2340;0.49756205038129514
20200429;2119;0.48865299353237407
20200430;2494;0.48164559178417254
20200501;1729;0.5662742658129496
20200502;789;0.536437590611511
20200503;614;0.5908242382302159
20200504;414;0.4883336789496402
20200505;1857;0.48412503160431664
20200506;3603;0.4822690538920861
20200507;2166;0.4836122357482014
20200508;1984;0.46902949133812966
20200509;2536;0.5088603200143885
20200510;1045;0.5449392416546762
20200511;690;0.48745128783453234
20200512;1589;0.48492094100719413
20200513;3351;0.48663022595683453
20200514;3117;0.48885450385611506
20200515;4084;0.48193553481294954
20200516;2827;0.48676040712230234
20200517;1182;0.5216438089280576
20200518;734;0.4705790075827338
20200519;2924;0.46284084464028785
20200520;3887;0.4677895409064747
20200521;3882;0.4700764484244605
20200522;3130;0.4621244553597121
20200523;3700;0.49096355942446035
20200524;1599;0.5321815627194245
20200525;1462;0.49990747648920864
20200526;2392;0.45203477002158265
20200527;3460;0.4607369398273381
20200528;6377;0.4608555769208632
20200529;5689;0.45262240063309345
20200530;5488;0.4940344077913671
20200531;2599;0.5135417965467628
20200601;1632;0.4578696340215827
20200602;6988;0.4597052826187047
20200603;5193;0.454559235172662
20200604;5713;0.4549904021870504
20200605;5343;0.446675441733813
20200606;5967;0.4828987087985613
20200607;2537;0.5077850597050357
20200608;1525;0.45147274674820137
20200609;5546;0.4507095810215828
20200610;6177;0.4467714319208633
20200611;6188;0.4790345447410072
20200612;5380;0.4434965405395685
20200613;4973;0.4659089644532373
20200614;5318;0.5028821294100717
20200615;3259;0.4513637381366904
20200616;8722;0.45097047694244585
20200617;1253;0.44821670291366905
20200618;1131;0.4385004022302158
20200619;18795;0.43916048694964027
20200620;4449;0.45883266210071944
20200621;3405;0.49818257548920875
20200622;2787;0.4452832882517985
20200623;7499;0.4488409552086333
20200624;9349;0.44807241958992783
20200625;9736;0.43920561293525173
20200626;9903;0.4421267297266188
20200627;7044;0.46622478938848927
20200628;6147;0.5010668388920861
20200629;3419;0.4472900572805755
20200630;6245;0.44710269387769797
20200701;8532;0.441378994532374
20200702;12220;0.4416835682949642
20200703;8309;0.43699949197841714
20200704;2052;0.4576453356762589
20200705;7607;0.49473073014388497
20200706;2918;0.4389397955467625
20200707;9639;0.43977318630935247
20200708;8637;0.43704646254676277
20200709;8310;0.4428268633741008
20200710;9375;0.4336362234172662
20200711;7795;0.4533313061654675
20200712;5096;0.4917255433453238
20200713;2634;0.4390047096978418
20200714;11979;0.4415199213956834
20200715;6578;0.44033213254676257
20200716;8854;0.43938589105755377
20200717;5363;0.4329324999928059
20200718;4594;0.45189050819424464
20200719;3008;0.49009100789208626
20200720;1389;0.42134882684892083
20200721;6238;0.4223728319640287
20200722;16732;0.42202749545323753
20200723;12544;0.41598072917985607
20200724;11195;0.4132261993165467
20200725;16188;0.441573990028777
20200726;4557;0.4948256630431652
20200727;3680;0.4288789210935252
20200728;12603;0.4178430033840581
20200729;13895;0.41963660305755396
20200730;15175;0.4222019815652173
20200731;13313;0.4175165934460431
20200801;10010;0.4382312284604316
20200802;6357;0.49633527769064734
20200803;1536;0.41791719495683455
20200804;15332;0.4166335530287768
20200805;9710;0.4116546233956834
20200806;13399;0.40968895852554743
20200807;9716;0.4012906429568346
20200808;13332;0.4231147615539567
20200809;5355;0.46269473615827317
20200810;1320;0.4158079241654675
20200811;11146;0.42010325255395686
20200812;15625;0.41298452765467625
20200813;19286;0.4122286433165467
20200814;11669;0.4172064173453237
20200815;11339;0.4384511496618705
20200816;2031;0.5028904462589926
20200817;3157;0.42391073298561144
20200818;8875;0.4279628763956834
20200819;9849;0.4188154767553956
20200820;9440;0.42261947435971237
20200821;5149;0.4141515302949641
20200822;13242;0.44691239505755403
20200823;4867;0.490490702230216
20200824;2374;0.4169212939136691
20200825;9205;0.4215590997697842
20200826;10456;0.4149291181510793
20200827;8338;0.41238136103597106
20200828;11691;0.4049715297338129
20200829;5198;0.41494495496402894
20200830;2020;0.468538229733813
20200831;951;0.40917257288489217
20200901;10047;0.41497170493525176
20200902;11957;0.4127838267246377
20200903;11645;0.4067227464892086
20200904;7015;0.3988687580503598
20200905;8015;0.41489363287769804
20200906;2677;0.44956142706474833
20200907;1616;0.4635285502302158
20200908;1448;0.4020954339424462
20200909;7781;0.41182903961870493
20200910;8162;0.4045588443237409
20200911;8032;0.39977242199280555
20200912;7832;0.41611834276258997
20200913;1587;0.4607675069856116
20200914;1110;0.4037055812302157
20200915;7923;0.4079631067101451
20200916;8125;0.4060758988057555
20200917;7365;0.4079434373309351
20200918;7705;0.40476912807194254
20200919;7121;0.4171893878992807
20200920;3637;0.467505608791367
20200921;2030;0.4109397651366906
20200922;8058;0.4204229123597123
20200923;6539;0.4108714637553958
20200924;6398;0.4067344465251798
20200925;6653;0.4033323364964028
20200926;5898;0.41485409241726623
20200927;1428;0.4527781504028776
20200928;925;0.40720314066906454
20200929;6359;0.40647444617985606
20200930;6181;0.39826651539705876
20201001;6100;0.4046548405251798
20201002;5594;0.40034737392805747
20201003;6049;0.4044578195755395
20201004;497;0.4590269348561152
20201005;699;0.40083581720863315
20201006;6219;0.39919950785611513
20201007;5973;0.3966559118129498
20201008;5648;0.404647208884892
20201009;5789;0.40555012903597126
20201010;6540;0.4041953340503598
20201011;2872;0.45519520547481995
20201012;716;0.46232051114388484
20201013;710;0.3889415875724638
20201014;6017;0.4006224830071943
20201015;6547;0.40219346713669085
20201016;5630;0.4142393123165468
20201017;5330;0.4187599861510789
20201018;985;0.4612278008561151
20201019;453;0.4038410153812951
20201020;4873;0.40195146395683456
20201021;4369;0.4045621787769785
20201022;3699;0.4016912177810216
20201023;6693;0.39946384542446056
20201024;5617;0.42137826615827334
20201025;2738;0.4585310819352518
20201026;868;0.4032200977769785
20201027;5359;0.40279292845323744
20201028;5380;0.4005055084748201
20201029;5260;0.40010635443165454
20201030;4920;0.3987931044964029
20201031;2358;0.44426748496402896
20201101;1025;0.4666721790647479
20201102;649;0.46048510883453236
20201103;741;0.3965765848992803
20201104;4756;0.40230036249640316
20201105;2632;0.3917501903093524
20201106;5;0.39310525684172676
20201107;4;0.4146252251294964
20201108;3;0.45405459861870495
20201109;5;0.391152703863309
20201110;21419;0.40171497761151065
20201111;3497;0.4004854722374099
20201112;5797;0.39313955763309344
20201113;6109;0.3931027288633094
20201114;4622;0.41537383405755407
20201115;1228;0.44625368871942456
20201116;750;0.3948691452589926
20201117;8718;0.4042749301726619
20201118;6408;0.4005891011870501
20201119;6790;0.3942920232374104
20201120;9046;0.40653306802877676
20201121;5076;0.4146496100215829
20201122;4051;0.44803815619424464
20201123;1089;0.3959540959928059
20201124;5228;0.4033211377101449
20201125;8965;0.3960749439856114
20201126;4503;0.3962778078776978
20201127;4298;0.4022401249640287
20201128;4493;0.4150911123812951
20201129;2412;0.4393975274130435
20201130;1183;0.39387713956834536
20201201;8926;0.38824075771222993
20201202;9071;0.4025040917122302
20201203;8214;0.3993453091726617
20201204;8253;0.3937422504892088
20201205;8920;0.40867547684892097
20201206;2672;0.44389936691366916
20201207;1095;0.39471504005755403
20201208;7938;0.40606243108633105
20201209;9785;0.3918318446834532
20201210;9794;0.40354225210791367
20201211;8780;0.4017702391824818
20201212;8438;0.408039104151079
20201213;1070;0.4399171918345325
20201214;2328;0.40324747273381334
20201215;4429;0.40190489922302153
20201216;6;0.4060676219136691
20201217;20338;0.39654630316546763
20201218;9947;0.39092965871223034
20201219;12462;0.40660911042028985
20201220;3;0.44265133696402853
20201221;3945;0.40344026124460414
20201222;10688;0.39776762484172673
20201223;10397;0.40261793961151104
20201224;9335;0.41238612103597133
20201225;3602;0.47030206721582724
20201226;1255;0.4592570313695654
20201227;2850;0.4798774191582732
20201228;1581;0.4172317289928059
20201229;12476;0.4266605314244605
20201230;11774;0.41931523426618694
20201231;10253;0.4412785961223024
20210101;3896;0.4744040874532375
20210102;1794;0.482189010877698
20210103;3468;0.49093204733093515
20210104;2250;0.40044444563309356
20210105;12887;0.4039545946043166
20210106;14508;0.45110932710791357
20210107;14087;0.42165856307913663
20210108;13756;0.4033242933956834
20210109;11537;0.45479742970503617
20210110;5653;0.46066295803597107
20210111;3029;0.4118908764244605
20210112;12687;0.4068654069064749
20210113;15276;0.4088400357482015
20210114;13719;0.4107678771294966
20210115;15005;0.40128754721582727
20210116;13676;0.4259227202733813
20210117;5772;0.4671817153597125
20210118;2961;0.4022123105467626
20210119;15942;0.40817919221582744
20210120;14427;0.40824530173381274
20210121;12069;0.4085614243165468
20210122;9059;0.40038011358273384
20210123;14511;0.4214155069999999
20210124;5123;0.46956585741726614
20210125;2883;0.40692904990647494
20210126;12945;0.40189827333812966
20210127;15947;0.4012537569280576
20210128;14824;0.40263338379856123
20210129;13878;0.4037802524244604
20210130;13005;0.4282563671079134
20210131;4357;0.4727541940863308
20210201;2426;0.3993003010071942
20210202;14271;0.4079305143093525
20210203;12975;0.40090949843884865
20210204;13766;0.3994385819712229
20210205;12403;0.3929583876043165
20210206;11876;0.4225397580647483
20210207;4260;0.4630445944964029
20210208;2475;0.39686986489928067
20210209;13189;0.40248633064028766
20210210;13854;0.3957478229064748
20210211;11149;0.3953467543165469
20210212;11594;0.3928485685323739
20210213;9790;0.4245863637194247
20210214;2220;0.4769736111510788
20210215;2329;0.43906362883453237
20210216;11520;0.4230948532374102
20210217;11305;0.40093762686330914
20210218;10729;0.40830755092086357
20210219;11108;0.39074562087769776
20210220;10819;0.4158428953597123
20210221;4507;0.46371239730215835
20210222;2557;0.3963808495755396
20210223;12098;0.4015729357697841
20210224;12093;0.46757076272661874
20210225;11871;0.4012851094676258
20210226;11604;0.3957010334604317
20210227;11114;0.4251458894028778
20210228;4353;0.47865494282014376
20210301;3109;0.38892154799280565
20210302;10161;0.40776755979856094
20210303;13752;0.4050848456762589
20210304;12196;0.40499295640287775
20210305;13101;0.40012000494244604
20210306;13707;0.45768261197122323
20210307;6079;0.504496955561151
20210308;4208;0.4171940092589927
20210309;16070;0.4279572553165468
20210310;15570;0.4247831142661872
20210311;14473;0.41795089020863313
20210312;15730;0.41881069981294955
20210313;15302;0.4578699122086331
20210314;7888;0.4961372169856119
20210315;5282;0.42535267362589935
20210316;17674;0.43865419217985613
20210317;17926;0.42737240948201477
20210318;17499;0.4395057976115108
20210319;18658;0.42369663338129504
20210320;17993;0.4683659532302156
20210321;8290;0.5067830348273383
20210322;4783;0.42473659552517995
20210323;20934;0.44477149799999977
20210324;20379;0.42881695174100715
20210325;18445;0.4267315004316549
20210326;21508;0.4301565656834531
20210327;18127;0.45665800182014404
20210328;9565;0.5100220981942446
20210329;5266;0.43083500287050336
20210330;21354;0.43216862181294957
20210331;23135;0.42651002683453204
20210401;26512;0.4234483422733813
20210402;16765;0.46758297291366896
20210403;7048;0.46428807201438843
20210404;7200;0.5060163076402875
20210405;4692;0.4291016376043166
20210406;22799;0.42226757558273376
20210407;21487;0.43409969907194246
20210408;21016;0.4197667764820146
20210409;20684;0.4137193739856115
20210410;17251;0.44053047569784176
20210411;8191;0.49426941623741044
20210412;5318;0.41289850058992816
20210413;18395;0.43451036068345295
20210414;18780;0.4181517297841727
20210415;18058;0.42728913963309334
20210416;17951;0.4257645400647483
20210417;17680;0.44114725799999993
20210418;6402;0.49382723366906467
20210419;4116;0.41214700499999973
20210420;19035;0.4278202089999999
20210421;17119;0.4829556449064749
20210422;7288;0.41166006456115106
20210423;17827;0.4247127200575539
20210424;16082;0.4400714815971224
20210425;6567;0.49049280260431666
20210426;4018;0.4156498942302158
20210427;17955;0.40722014315827354
20210428;17018;0.4119015299280575
20210429;14875;0.4080701562302158
20210430;15541;0.42134175787050365
20210501;14240;0.4355193302589928
20210502;5371;0.48057496635971214
20210503;3174;0.40205565228057544
20210504;15427;0.4064908086978417
20210505;14205;0.40307024442446027
20210506;13500;0.39941462326618715
20210507;14506;0.39584175451079134
20210508;12984;0.41994959269064736
20210509;5849;0.46265072720863315
20210510;3236;0.4020968181223023
20210511;16272;0.405576466410072
20210512;15696;0.4058196660719426
20210513;15615;0.40692952900719415
20210514;15937;0.3975820694460433
20210515;15348;0.42577318360431643
20210516;7593;0.4755972487266188
20210517;4066;0.4014384564100719
20210518;15777;0.4089912788345322
20210519;16742;0.4078942609352516
20210520;17871;0.40627941158992803
20210521;16611;0.40132999271942443
20210522;16724;0.4324212968561149
20210523;7510;0.4850332732517988
20210524;4632;0.4087211598129497
20210525;17446;0.41091323109352534
20210526;16528;0.4086508705827338
20210527;11977;0.40884043051079155
20210528;2305;0.401804272410072
20210529;13609;0.42754548500000006
20210530;10961;0.47879507299999985
20210531;6086;0.40901048894244596
20210601;19563;0.4227333099568344
20210602;22962;0.41517255461870495
20210603;19820;0.4792553336043165
20210604;4096;0.40701212155395694
20210605;16889;0.4234525069784172
20210606;9995;0.46807630002158246
20210607;5085;0.3998384869928057
20210608;8067;0.40324008336690637
20210609;4251;0.4017536512805755
20210610;23021;0.39872042881294956
20210611;22865;0.3930905110431654
20210612;21191;0.41982634266906466
20210613;9290;0.46803076209352507
20210614;5324;0.39916492632374095
20210615;23216;0.40267181391366924
20210616;22579;0.40041080902877707
20210617;15055;0.4020311422086331
20210618;27676;0.39666022052517985
20210619;20445;0.4242025244316549
20210620;9579;0.4715722791223021
20210621;4911;0.4070960809640287
20210622;23090;0.4077388786330935
20210623;19490;0.40539974480575536
